,date,natural_resources_mining_all_employees,natural_resources_mining_avg_monthly_pay,natural_resources_mining_aggr_value,construction_all_employees,construction_avg_monthly_pay,construction_aggr_value,manufacturing_all_employees,manufacturing_avg_monthly_pay,manufacturing_aggr_value,trade_transportation_utilities_all_employees,trade_transportation_utilities_avg_monthly_pay,trade_transportation_utilities_aggr_value,information_all_employees,information_avg_monthly_pay,information_aggr_value,financial_activities_all_employees,financial_activities_avg_monthly_pay,financial_activities_aggr_value,professional_business_services_all_employees,professional_business_services_avg_monthly_pay,professional_business_services_aggr_value,education_health_services_all_employees,education_health_services_avg_monthly_pay,education_health_services_aggr_value,leisure_hospitality_all_employees,leisure_hospitality_avg_monthly_pay,leisure_hospitality_aggr_value,other_services_all_employees,other_services_avg_monthly_pay,other_services_aggr_value,unclassified_all_employees,unclassified_avg_monthly_pay,unclassified_aggr_value,total_industries_aggr_value
61,2010-11,,,,,,,,,,123858,2832,350765856,12484,4712,58824608,35003,5732,200637196,67987,4800,326337600,136856,3568,488302208,69077,1356,93668412,27914,1996,55716344,5,1352,6760,
60,2010-12,,,,,,,,,,125040,2832,354113280,12529,4712,59036648,35041,5732,200855012,66800,4800,320640000,137217,3568,489590256,67989,1356,92193084,28259,1996,56404964,9,1352,12168,
59,2011-01,1584.0,4344.0,6880896.0,19278.0,3864.0,74490192.0,65140.0,4276.0,278538640.0,119143,2636,314060948,12654,5072,64181088,34440,5376,185149440,66067,4344,286995048,135315,3080,416770200,63619,1220,77615180,27389,1744,47766416,4,1308,5232,1752453280.0
58,2011-02,1677.0,4344.0,7284888.0,18580.0,3864.0,71793120.0,65147.0,4276.0,278568572.0,117902,2636,310789672,12659,5072,64206448,34499,5376,185466624,66091,4344,287099304,135982,3080,418824560,64373,1220,78535060,27460,1744,47890240,5,1308,6540,1750465028.0
57,2011-03,2095.0,4344.0,9100680.0,19199.0,3864.0,74184936.0,65314.0,4276.0,279282664.0,117527,2636,309801172,12707,5072,64449904,34568,5376,185837568,66254,4344,287807376,136287,3080,419763960,65096,1220,79417120,27905,1744,48666320,8,1308,10464,1758322164.0
56,2011-04,2528.0,6984.0,17655552.0,,,,,,,118588,2680,317815840,12887,4632,59692584,34540,4620,159574800,69111,4296,296900856,137371,3216,441785136,69297,1276,88422972,27734,1852,51363368,14,1000,14000,
55,2011-05,2762.0,6984.0,19289808.0,,,,,,,119658,2680,320683440,12959,4632,60026088,34431,4620,159071220,69406,4296,298168176,137582,3216,442463712,72929,1276,93057404,28414,1852,52622728,12,1000,12000,
54,2011-06,2876.0,6984.0,20085984.0,,,,,,,120631,2680,323291080,13011,4632,60266952,34954,4620,161487480,70112,4296,301201152,136598,3216,439299168,77800,1276,99272800,29131,1852,53950612,22,1000,22000,
53,2011-07,2885.0,6404.0,18475540.0,,,,,,,119198,2792,332800816,13041,4784,62388144,34579,4808,166255832,69885,4160,290721600,135704,3408,462479232,79090,1392,110093280,30318,1900,57604200,31,1220,37820,
52,2011-08,3015.0,6404.0,19308060.0,,,,,,,119735,2792,334300120,11909,4784,56972656,34528,4808,166010624,70181,4160,291952960,134269,3408,457588752,78665,1392,109501680,30010,1900,57019000,19,1220,23180,
51,2011-09,2887.0,6404.0,18488348.0,,,,,,,120485,2792,336394120,12949,4784,61948016,34384,4808,165318272,70840,4160,294694400,136678,3408,465798624,75993,1392,105782256,28675,1900,54482500,18,1220,21960,
50,2011-10,2666.0,4712.0,12562192.0,24579.0,4356.0,107066124.0,65597.0,4292.0,281542324.0,121714,2820,343233480,12912,4712,60841344,34289,5704,195584456,70684,4816,340414144,136936,3484,477085024,72499,1340,97148660,28295,1952,55231840,12,2256,27072,1970736660.0
