DATE,STATION,NAME,LATITUDE,LONGITUDE,PRCP,WSF2,WSF5
2010-04-04,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.0,14.1,21.9
2010-04-05,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.0,21.9,30.0
2010-04-06,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.08,8.1,
2010-04-07,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.0,28.0,38.0
2010-04-08,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.0,16.1,21.0
2010-04-09,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.42,19.9,29.1
2010-04-10,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.0,25.1,32.0
2010-04-11,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.0,29.1,38.0
2010-04-12,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.0,21.9,29.1
2010-04-13,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.0,16.1,19.9
2010-04-14,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.0,21.0,32.0
2010-04-15,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.0,17.9,23.0
2010-04-16,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.2,14.1,23.9
2010-04-17,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.33,16.1,19.9
2010-04-18,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.07,10.1,13.0
2010-04-19,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.0,23.9,38.0
2010-04-20,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.0,23.0,30.0
2010-04-21,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.0,17.9,25.9
2010-04-22,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.01,15.0,19.9
2010-04-23,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.0,21.9,28.0
2010-04-24,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.0,19.9,25.1
2010-04-25,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.0,15.0,21.9
2010-04-26,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.0,12.1,15.0
2010-04-27,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.23,17.0,23.9
2010-04-28,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.16,19.9,25.1
2010-04-29,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.0,34.9,46.1
2010-04-30,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.0,25.9,33.1
2010-05-01,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.0,16.1,21.9
2010-05-02,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.0,10.1,14.1
2010-05-03,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.0,31.1,40.9
2010-05-04,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.13,19.9,23.9
2010-05-05,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.0,16.1,23.0
2010-05-06,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.11,30.0,40.0
2010-05-07,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.0,21.9,31.1
2010-05-08,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.45,17.0,25.1
2010-05-09,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.0,25.9,34.9
2010-05-10,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.0,15.0,23.0
2010-05-11,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.0,14.1,21.0
2010-05-12,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.0,15.0,23.0
2010-05-13,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.0,21.0,28.0
2010-05-14,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.0,11.0,
2010-05-15,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.0,21.0,34.9
2010-05-16,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.0,25.9,36.9
2010-05-17,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.0,14.1,19.9
2010-05-18,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.02,13.0,
2010-05-19,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,1.06,19.9,28.0
2010-05-20,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.0,14.1,
2010-05-21,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.0,14.1,17.0
2010-05-22,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.0,11.0,17.9
2010-05-23,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.0,11.0,
2010-05-24,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.0,13.0,23.0
2010-05-25,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.0,15.0,29.1
2010-05-26,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.0,23.0,28.0
2010-05-27,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.0,13.0,
2010-05-28,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.0,10.1,23.9
2010-05-29,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.0,12.1,
2010-05-30,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.0,23.9,30.0
2010-05-31,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.0,17.9,29.1
2010-06-01,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.06,10.1,
2010-06-02,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.0,16.1,23.0
2010-06-03,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.11,10.1,
2010-06-04,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.0,10.1,
2010-06-05,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.77,21.9,38.0
2010-06-06,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,1.01,30.0,36.9
2010-06-07,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.0,21.0,29.1
