"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","FMTM","PGTM","PRCP","SNOW","WDF2","WDF5","WSF2","WSF5"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-03-07","11.41"," 2022"," 1925","0.00","0.0","  280","  280","19.9","25.1"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-03-08","12.30"," 1511"," 1722","0.00","0.0","  270","  270","23.9","33.1"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-03-09","9.40"," 1223"," 1219","0.00","0.0","  320","  340","21.0","28.0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-03-10","7.16"," 1735"," 1734","0.00","0.0","  120","  120","15.0","17.0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-03-11","6.26"," 1610"," 1610","0.08","0.0","   80","   80","11.0","11.0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-03-12","12.08"," 1553"," 1552","0.00","0.0","   50","   50","19.9","23.9"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-03-13","22.82"," 2351"," 2350","1.47","0.0","   60","   60","36.0","48.1"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-03-14","29.53"," 0135"," 2137","3.40","0.0","   70","   30","42.9","53.9"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-03-15","26.40"," 1949"," 1949","2.11","0.0","   50","   60","38.9","48.1"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-03-16","11.63"," 0211"," 0036","0.00","0.0","   30","   30","23.0","29.1"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-03-17","7.61"," 2126"," 1657","0.00","0.0","  270","  270","17.9","25.9"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-03-18","11.41"," 1343"," 1001","0.00","0.0","  270","  280","21.9","33.1"
