"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","WDF2","WDF5","WSF2","WSF5"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-03-06","7.16"," 2106"," 2254","0.00","0.0","0.0","  280","  300","14.1","21.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-03-07","7.16"," 1155"," 1155","0.00","0.0","0.0","  310","  310","16.1","19.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-03-08","7.16"," 1501"," 1501","0.00","0.0","0.0","  270","  280","17.0","23.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-03-09","4.47"," 1153"," 1324","0.00","0.0","0.0","  280","  330","15.0","17.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-03-10","4.92"," 0823"," 0822","0.00","0.0","0.0","   50","   60","12.1","15.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-03-11","8.95"," 1655"," 1652","0.00","0.0","0.0","   40","   60","17.9","23.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-03-12","13.87"," 2126"," 1849","0.21","0.0","0.0","   50","   70","25.1","40.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-03-13","22.82"," 1623"," 1545","3.86","0.0","0.0","   60","   60","36.9","53.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-03-14","13.65"," 0020"," 0200","0.24","0.0","0.0","   50","   60","30.0","42.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-03-15","11.63"," 2039"," 2038","0.33","0.0","0.0","   30","   40","23.0","32.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-03-16","7.61"," 0825"," 0230","0.00","0.0","0.0","   30","   60","17.9","30.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-03-17","2.46"," 1509"," 1632","0.00","0.0","0.0","  250","  270","12.1","13.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-03-18","3.36"," 1505"," 1505","0.00","0.0","0.0","  270","  260","13.0","16.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-03-19","3.36"," 1332"," 1614","0.00","0.0","0.0","  220","  150","13.0","16.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-03-20","4.92"," 1412"," 1412","0.00","0.0","0.0","  240","  230","15.0","21.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-03-21","6.49"," 0734"," 0734","0.00","0.0","0.0","   70","   60","15.0","23.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-03-22","5.59"," 2252"," 2252","1.34","0.0","0.0","  140","  140","14.1","21.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-03-23","6.04"," 2341"," 2341","0.11","0.0","0.0","  280","  290","17.9","28.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-03-24","11.63"," 1636"," 1532","0.00","0.0","0.0","  290","  280","21.9","33.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-03-25","4.25"," 2202"," 2201","0.00","0.0","0.0","  220","  210","14.1","21.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-03-26","10.51"," 1233"," 1238","0.14","0.0","0.0","   40","   50","21.0","32.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-03-27","7.61"," 0105"," 0519","0.00","0.0","0.0","   40","   20","17.0","23.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-03-28","8.05"," 1700"," 1657","0.34","0.0","0.0","  150","  150","17.9","29.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-03-29","6.49"," 0602"," 0417","1.58","0.0","0.0","  160","  170","16.1","25.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-03-30","10.74"," 0447"," 0446","2.45","0.0","0.0","   20","   30","23.9","36.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-03-31","5.82"," 0125"," 1145","0.01","0.0","0.0","  340","  330","14.1","17.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-04-01","4.70"," 0621"," 0620","0.00","0.0","0.0","   50","   70","14.1","19.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-04-02","4.47"," 1436"," 1731","0.00","0.0","0.0","  170","  150","13.0","16.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-04-03","4.92"," 1622"," 1622","0.00","0.0","0.0","  160","  150","14.1","19.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-04-04","2.68"," 1450"," 1449","0.00","0.0","0.0","  270","  260","10.1","13.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-04-05","6.49"," 1526"," 1505","0.00","0.0","0.0","  150","  170","15.0","21.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-04-06","4.03"," 1045"," 1103","0.00","0.0","0.0","   60","  110","13.0","15.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-04-07","6.93"," 1344"," 1519","0.00","0.0","0.0","  230","  230","17.9","25.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-04-08","6.26"," 1637"," 1728","0.00","0.0","0.0","  160","  170","15.0","23.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-04-09","7.61"," 1702"," 2014","0.30","0.0","0.0","  290","  290","17.0","25.9"
