"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PGTM","PRCP","WDF2","WDF5","WSF2","WSF5"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-04-02","3.36"," 1400","0.00","  150","  130","12.1","15.0"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-04-03","6.93"," 1514","0.00","  210","  220","17.0","21.9"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-04-04","5.37"," 1641","0.00","  220","  220","15.0","17.0"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-04-05","8.05"," 1347","0.00","  210","  210","19.9","25.9"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-04-06","4.47"," 1351","0.00","  150","  140","13.0","17.0"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-04-07","8.05"," 1441","0.00","  220","  220","23.9","33.1"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-04-08","6.49"," 1343","0.00","  160","  170","16.1","18.1"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-04-09","10.51"," 1842","0.31","  210","  280","21.9","30.0"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-04-10","13.42"," 0215","0.00","  280","  300","25.9","40.0"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-04-11","8.50"," 1343","0.00","  280","  280","23.0","32.0"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-04-12","5.37"," 1514","0.00","  270","  290","19.9","23.0"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-04-13","4.25"," 1654","0.00","  150","  160","15.0","19.9"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-04-14","7.16"," 1245","0.00","  210","  300","19.9","38.9"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-04-15","7.61"," 1150","0.00","   40","   60","23.0","28.0"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-04-16","7.38"," 2246","0.25","  130","  130","16.1","21.0"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-04-17","4.92"," 0003","0.13","   40","  110","12.1","17.0"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-04-18","3.80"," 1643","0.07","  270","  310","14.1","19.9"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-04-19","6.26"," 0829","0.01","  300","  300","17.0","23.9"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-04-20","4.47"," 1450","0.00","  220","  220","16.1","23.0"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-04-21","6.71"," 1541","0.00","  200","  220","18.1","23.0"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-04-22","7.16"," 1438","0.47","  190","  190","23.0","30.0"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-04-23","5.82"," 1432","0.00","   40","   30","16.1","21.9"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-04-24","7.61"," 1624","0.00","  200","  210","18.1","23.0"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-04-25","7.38"," 0814","0.15","  220","  250","16.1","21.9"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-04-26","6.71"," 0959","0.12","   70","   60","14.1","21.9"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-04-27","4.92"," 1700","0.14","  290","  290","15.0","23.0"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-04-28","12.08"," 1016","0.04","  270","  270","30.0","38.9"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-04-29","10.74"," 1208","0.00","  290","  280","35.1","46.1"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-04-30","8.50"," 1434","0.00","  270","  290","23.0","32.0"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-05-01","4.92"," 1147","0.00","  140","  140","15.0","18.1"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-05-02","7.16"," 1048","0.00","  220","  210","16.1","19.9"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-05-03","10.07"," 1207","0.20","  220","  260","25.9","35.1"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-05-04","7.83"," 2252","0.02","  280","  280","12.1","16.1"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-05-05","11.18"," 1634","0.00","  220","  220","21.0","28.0"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-05-06","11.41"," 2131","0.00","  300","  290","21.0","31.1"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-05-07","9.62"," 1338","0.00","  260","  260","19.9","25.1"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-05-08","7.83"," 2353","0.32","  280","  260","23.9","36.0"
