"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","DAPR","MDPR","PRCP","WDF2","WDF5","WSF2","WSF5"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-06-29",,,,"0.00","  290","  290","12.1","27.1"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-06-30",,,,"0.00","  200","  200","11.0","19.0"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-07-01",,,,"0.00","  320","  340","11.0","19.9"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-07-02",,,,"0.00","  110","  110","12.1","17.9"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-07-03",,,,"0.00","  220","  230","16.1","25.1"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-07-04",,,,"0.00","  220","  230","17.9","25.9"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-07-05",,,,"0.00","  270","  280","12.1","19.9"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-07-06",,,,"0.00","  130","  250","10.1","17.9"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-07-07",,,,"0.00","  100","   90","14.1","23.0"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-07-08",,,,"0.03","  110","  110","10.1","15.0"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-07-09",,,,"0.00","  120","  150","11.0","16.1"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-07-10",,,,"0.30","  330","  330","10.1","16.1"
