"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PGTM","PRCP","WDF2","WDF5","WSF2","WSF5"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-03-05","9.62"," 1222","0.00","   10","   10","18.1","25.1"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-03-06","7.61"," 1709","0.00","  350","  300","15.0","19.9"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-03-07","3.58"," 1218","0.00","  220","  210","14.1","19.9"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-03-08","4.47"," 1558","0.00","  220","  300","15.0","21.0"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-03-09","5.37"," 1217","0.00","  350","  350","21.9","28.0"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-03-10","4.70"," 0506","0.00","   20","   10","12.1","15.0"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-03-11","6.71"," 1756","0.00","  100","  110","16.1","23.0"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-03-12","10.51"," 1257","0.16","   80","   90","21.9","30.0"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-03-13","19.91"," 1705","2.91","   70","   70","32.0","46.1"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-03-14","17.22"," 0013","0.56","   50","   40","30.0","42.9"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-03-15","20.36"," 1806","0.23","   20","   10","29.1","46.1"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-03-16","10.29"," 0740","0.00","   10","  360","23.9","31.1"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-03-17","3.80"," 1550","0.00","  220","  210","14.1","18.1"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-03-18","3.36"," 1411","0.00","  210","  220","14.1","21.9"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-03-19","2.68"," 1504","0.00","  210","  230","10.1","17.0"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-03-20","4.03"," 1702","0.00","  200","  210","14.1","21.0"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-03-21","9.40"," 1306","0.00","  110","  100","21.0","25.9"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-03-22","10.07"," 2250","0.90","   90","   90","21.9","31.1"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-03-23","7.61"," 0116","1.33","   90","   90","23.0","36.9"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-03-24","10.29"," 1605","0.00","  330","  310","25.1","38.9"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-03-25","3.13"," 1920","0.00","  160","  220","12.1","15.0"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-03-26","13.42"," 0824","0.19","   10","   10","28.0","35.1"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-03-27","8.95"," 0441","0.00","   20","   20","18.1","23.9"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-03-28","11.63"," 2250","0.03","  130","  120","18.1","25.9"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-03-29","8.28"," 0704","2.16","  170","  160","23.0","32.0"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-03-30","17.00"," 1117","1.89","   10","   30","30.0","36.9"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-03-31","4.92"," 1619","0.09","  360","   10","16.1","23.0"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-04-01","4.70"," 0709","0.00","   10","   10","14.1","18.1"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-04-02","2.91"," 1720","0.00","  110","  120","10.1","13.0"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-04-03","4.70"," 1627","0.00","  180","  180","14.1","17.0"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-04-04","3.58"," 1436","0.00","  220","  210","10.1","17.0"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-04-05","2.91"," 1551","0.00","  140","  190","12.1","15.0"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-04-06","4.03"," 1407","0.00","  120","  110","14.1","18.1"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-04-07","5.82"," 1506","0.00","  230","  230","16.1","25.9"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-04-08","8.05"," 1323","0.00","  100","   90","21.0","25.9"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-04-09","5.14"," 1840","0.44","  330","  340","16.1","30.0"
