"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","WDF2","WDF5","WSF2","WSF5"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-03-29","11.18"," 1014"," 0927","1.44","0.0","0.0","  170","  170","23.9","40.0"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-03-30","16.55"," 2155"," 2239","2.73","0.0","0.0","   60","   60","30.0","38.0"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-03-31","8.50"," 0653"," 1702","0.36","0.0","0.0","   60","   60","21.0","31.1"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-04-01","5.59"," 0844"," 0119","0.00","0.0","0.0","  360","  330","13.0","16.1"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-04-02","3.80"," 1632"," 1630","0.00","0.0","0.0","  160","  160","13.0","16.1"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-04-03","4.47"," 1526"," 1425","0.00","0.0","0.0","  190","  170","17.9","25.1"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-04-04","6.93"," 1444"," 0612","0.00","0.0","0.0","  250","  250","14.1","21.9"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-04-05","7.83"," 1137"," 1208","0.00","0.0","0.0","  190","  190","21.9","30.0"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-04-06","3.36"," 1411",,"0.08","0.0","0.0","  220",,"8.1",
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-04-07","6.71"," 1721"," 1719","0.00","0.0","0.0","  310","  320","28.0","38.0"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-04-08","8.72"," 1220"," 0747","0.00","0.0","0.0","   90","   80","16.1","21.0"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-04-09","6.49"," 2210"," 1203","0.42","0.0","0.0","  320","  220","19.9","29.1"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-04-10","11.63"," 1344"," 1213","0.00","0.0","0.0","  280","  290","25.1","32.0"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-04-11","11.18"," 1302"," 1314","0.00","0.0","0.0","  270","  300","29.1","38.0"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-04-12","9.62"," 1410"," 1356","0.00","0.0","0.0","  340","  310","21.9","29.1"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-04-13","5.82"," 1309"," 1500","0.00","0.0","0.0","  170","  180","16.1","19.9"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-04-14","7.61"," 2359"," 2354","0.00","0.0","0.0","  330","  320","21.0","32.0"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-04-15","7.61"," 0850"," 1212","0.00","0.0","0.0","  350","   40","17.9","23.0"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-04-16","4.70"," 1350"," 0549","0.20","0.0","0.0","  120","   40","14.1","23.9"
