Date,PRCP,WSF2,WSF5
2011-10-19,1.25,29.1,40.0
2011-10-20,0.23,32.0,40.0
2011-10-21,0.0,23.0,31.1
2011-10-22,0.0,15.0,18.1
2011-10-23,0.0,13.0,16.1
2011-10-24,0.0,15.0,17.0
2011-10-25,0.0,23.9,31.1
2011-10-26,0.0,16.1,79.0
2011-10-27,0.5,23.9,31.1
2011-10-28,0.0,18.1,23.9
2011-10-29,0.69,32.0,42.9
2011-10-30,0.02,25.9,33.1
2011-10-31,0.0,8.9,13.0
2011-11-01,0.0,21.0,25.9
2011-11-02,0.0,10.1,14.1
2011-11-03,0.0,17.0,21.9
2011-11-04,0.0,25.1,31.1
2011-11-05,0.0,13.0,18.1
2011-11-06,0.0,17.0,21.9
2011-11-07,0.0,18.1,25.1
2011-11-08,0.0,12.1,79.0
2011-11-09,0.0,8.9,12.1
2011-11-10,0.61,15.0,18.1
2011-11-11,0.0,23.9,32.0
2011-11-12,0.0,25.9,33.1
2011-11-13,0.0,21.0,29.1
2011-11-14,0.0,21.0,25.9
2011-11-15,0.0,17.0,23.0
2011-11-16,0.47,10.1,13.0
2011-11-17,0.08,23.0,28.0
2011-11-18,0.0,21.9,29.1
2011-11-19,0.0,23.0,30.0
2011-11-20,0.0,19.9,25.9
2011-11-21,0.0,16.1,19.9
2011-11-22,0.28,21.9,29.1
2011-11-23,1.23,29.1,36.0
2011-11-24,0.0,16.1,18.1
2011-11-25,0.0,16.1,21.9
2011-11-26,0.0,15.0,29.1
2011-11-27,0.0,15.0,18.1
2011-11-28,0.0,16.1,21.9
2011-11-29,1.03,36.0,44.1
2011-11-30,0.2,21.9,29.1
2011-12-01,0.0,15.0,21.0
2011-12-02,0.0,15.0,21.0
2011-12-03,0.0,17.0,21.0
2011-12-04,0.0,10.1,12.1
2011-12-05,0.0,8.1,13.0
2011-12-06,0.38,15.0,18.1
2011-12-07,1.01,19.9,23.0
2011-12-08,0.0,38.9,55.9
2011-12-09,0.0,16.1,19.9
2011-12-10,0.03,18.1,23.0
2011-12-11,0.0,13.0,16.1
2011-12-12,0.0,13.0,15.0
2011-12-13,0.0,14.1,18.1
2011-12-14,0.0,13.0,15.0
2011-12-15,0.01,25.1,32.0
2011-12-16,0.0,29.1,40.0
2011-12-17,0.0,17.0,25.1
2011-12-18,0.0,19.9,21.9
2011-12-19,0.0,28.0,35.1
2011-12-20,0.0,21.0,29.1
2011-12-21,0.02,35.1,51.0
2011-12-22,0.0,21.0,30.0
2011-12-23,0.56,21.0,25.9
2011-12-24,0.0,17.0,21.9
2011-12-25,0.0,23.0,25.9
2011-12-26,0.0,25.1,33.1
2011-12-27,0.16,51.0,61.1
2011-12-28,0.0,30.0,38.0
2011-12-29,0.0,21.0,28.0
2011-12-30,0.0,10.1,13.0
2011-12-31,0.0,12.1,14.1
2012-01-01,0.0,21.0,25.9
2012-01-02,0.0,21.9,28.0
2012-01-03,0.0,23.9,31.1
2012-01-04,0.0,18.1,23.9
